"active slots","total slots","duty cycle"
12117,350154,0.03460477389948423
66593,1926244,0.03457142501157694
66671,1926244,0.03461191832395065
66672,1926244,0.034612437468981086
66672,1926244,0.034612437468981086
66672,1926244,0.034612437468981086
85518,1926244,0.04439624471250787
85523,1926244,0.04439884043766003
66576,1926641,0.0345554776421762
66686,1926641,0.03461257182837903
103415,1926641,0.05367632060150282
115839,3346710,0.03461279883826206
119741,3459458,0.03461264741471063
145220,4195496,0.03461330912959993
309200,5760073,0.0536798752376923
199377,5760073,0.034613623820392556
362702,5760073,0.062968299186486
199376,5760073,0.0346134502114817
309191,5760073,0.053678312757494566
260635,5760073,0.045248558481810905
199375,5760073,0.03461327660257084
309193,5760073,0.05367865997531628
232031,5760073,0.04028264919559179
311670,5760073,0.054108689247514746
314712,5760073,0.0546368075543487
308775,5760073,0.053606091450577105
255753,5760073,0.04440099977899586
199377,5760073,0.034613623820392556
309197,5760073,0.05367935441095972
199376,5760073,0.0346134502114817
310713,5760073,0.0539425455198224
256933,5760073,0.044605858293809815
199375,5760073,0.03461327660257084
416991,5760073,0.07239335334812597
312286,5760073,0.05421563233660407
351167,5760073,0.0609657203997241
199185,5760073,0.03458029090950757
409799,5760073,0.07114475806122596
306821,5760073,0.05326685963875805
252414,5760073,0.043821319625636686
255546,5760073,0.044365062734447985
258237,5760073,0.04483224431357033
