"min","max","avg"
5113.50,9690.45,7815.64
10013.70,11311.36,10663.92
11212.35,12623.70,12014.07
8480.40,9016.65,8760.07
7281.90,9571.20,8525.44
10367.40,12142.11,11417.52
9439.20,10561.20,9973.00
3703.50,5498.55,4199.03
