"min","max","avg"
3600.00,5135.25,4338.29
2967.60,3357.00,3067.83
3000.30,3431.10,3204.36
2281.80,3290.55,2870.45
1352.85,3183.60,2465.69
1336.80,1771.50,1569.53
1378.05,1624.50,1463.41
1479.75,2887.35,2143.79
