"min","max","avg"
0.990000,1.000000,0.997930
0.980000,1.000000,0.997270
0.990000,1.000000,0.998182
0.990000,1.000000,0.997239
0.980000,1.000000,0.997930
0.970000,1.000000,0.997236
0.980000,1.000000,0.995172
0.990000,1.000000,0.997561
