"Orchestra","DIME"
0.045480431733040935,0.044279111382540606
0.045848862620261076,0.044312320760683484
0.04583245359054343,0.04420326280251464
0.04548057527604966,0.044120644791446784
0.04556164241571691,0.044073363261018614
0.04559432355686564,0.04403969089322859
0.045605707172779474,0.044035751868421756
0.045607051668639716,0.0440450196124993
0.04598235925407765,0.04466288574658577
0.045141618268735494,0.04467391844519145
0.045139673870088104,0.04468405864684815
0.046000023454796146,0.044692181579237746
0.04558936253823792,0.044699526130390375
0.0460211138595908,0.04470662522010834
0.04561664318596013,0.04471140318982031
0.04541118966095495,0.044715156024452536
0.045852317459740916,0.044719018125759145
0.046049255891197,0.04472254198867389
0.04585906437132016,0.044725475826725244
0.04546286045753245,0.04472769508839845
0.04608491280083045,0.04473015122485707
0.04548925242965459,0.044731839182640315
0.04611489304231067,0.044733819508626774
0.04612445347877386,0.04473538771365868
