"active slots","total slots","duty cycle"
198077,5718787,0.03463619120628203
250070,5700134,0.04387089847361483
318383,5700126,0.055855431967644226
197693,5700132,0.03468217928988311
318920,5709239,0.05586033445087865
202535,5700132,0.03553163330252703
252410,5700132,0.04428143067564049
199138,5737697,0.034706956467028496
265949,5700132,0.04665663882871485
260058,5704651,0.045587013123151617
211613,5700130,0.03712424102608186
221372,5700130,0.03883630724211553
251452,5700131,0.04411337213127207
297101,5700527,0.05211816381187213
245349,5707596,0.04298639917751712
198118,5711037,0.034690372343936834
348352,5715656,0.06094698491301786
329493,5700126,0.05780451168974159
320236,5700126,0.05618051250095173
307984,5700130,0.05403104841468528
211779,5700127,0.037153382722876174
266421,5710386,0.04665551505625014
211511,5714416,0.03701358109035114
252285,5710789,0.0441769079544
197863,5700132,0.034712003160628564
211557,5700133,0.037114397155294444
206900,5700128,0.03629743051384109
362104,5700131,0.06352555757051899
328079,5716307,0.05739352347590848
199210,5700132,0.0349483134776528
264106,5700132,0.046333312982927415
324764,5700132,0.056974820933971354
212635,5700126,0.037303561359871694
353536,5700126,0.06202248862569003
249704,5700126,0.04380675093848803
317841,5700126,0.05576034635023858
320819,5715160,0.05613473638533304
266227,5700129,0.046705434210348576
255251,5700134,0.04477982447430183
267530,5704651,0.046896821558409095
313751,5715656,0.05489326159586931
