"period(10s)","PDR","latency(ms)"
36,1,6070
42,1,6762.5
48,1,7540
54,1,6080
60,0.83333,6792
66,0,NaN
72,0,NaN
78,0,NaN
84,0,NaN
90,0,NaN
96,0.83333,8982
102,1,9180
108,0.83333,8364
114,1,7492.5
120,1,6575
126,1,6812.5
132,1,7285
138,1,6540
144,1,7025
150,0.83333,8337
