"slot number when device synchronized"
1588
798
397
1191
1191
797
1195
1194
797
397
1594
1194
797
794
1194
797
799
1194
397
1192
1193
794
797
794
397
797
397
1194
1199
0
1194
797
1196
1594
397
3180
1196
1196
397
397
794
