"high","medium high","medium low","low"
0.935294,0.940000,0.954545,0.996960
0.931373,0.936364,0.968182,0.966667
0.935294,0.961818,0.952273,0.978788
0.935294,0.992727,0.997727,1.000000
0.915686,0.954545,0.968182,0.937500
0.919681,0.939110,0.952273,0.960606
0.907843,0.952727,0.952273,0.956250
0.996078,1.000000,1.000000,1.000000
