"high","medium high","medium low","low"
4346.52,3978.25,3327.36,2582.38
3083.37,3796.92,3133.60,1700.95
3226.24,3282.97,3305.84,1835.79
2203.85,2597.87,2009.35,1804.82
1750.03,3445.17,3017.32,3288.19
3739.15,3370.88,2913.07,2742.49
1644.73,3348.94,1810.11,1539.53
3075.47,3304.12,1739.66,1977.49
