"high","medium high","medium low","low"
0.990196,0.998182,0.995455,0.996960
0.998039,0.994545,1.000000,0.993939
0.994118,0.994545,0.997727,0.996970
0.994118,0.998182,1.000000,1.000000
0.994118,1.000000,1.000000,1.000000
0.994726,0.995455,0.996970,0.996970
0.994118,0.996364,0.997727,0.993750
1.000000,1.000000,1.000000,1.000000
