"active slots","total slots","duty cycle"
136760,3948563,0.03463538507553254
198690,5616362,0.03537699314965809
213772,5700128,0.037503017476098785
344700,5700126,0.060472347453372086
198276,5700131,0.0347844637254828
296364,5700126,0.051992534901860066
212027,5722135,0.0370538269369737
211642,5700131,0.03712932211557945
198589,5723685,0.03469600440974652
290297,5723685,0.05071854932617711
281984,5723685,0.04926616331960966
207578,5700134,0.03641633687909793
223629,5700126,0.03923229065462763
220290,5722848,0.038493071980943754
305023,5700133,0.05351155841451419
249274,5700126,0.043731314009549965
390232,5791854,0.06737600775157661
345829,5700126,0.06067041325051411
317596,5700134,0.05571728664624376
313449,5704527,0.05494741281792513
252762,5700126,0.04434323030754057
308730,5740983,0.05377650482504477
197617,5704527,0.034642135973762596
252823,5734669,0.044086764205571415
197681,5700134,0.03468006190731657
197729,5700526,0.03468609738820593
184904,5700130,0.03243855841884308
197850,5700129,0.03470974077955078
313520,5700134,0.05500221573738442
344731,5700128,0.06047776470984511
200506,5700134,0.03517566429140087
287956,5700525,0.05051394389113283
329627,5700129,0.05782798950690414
205014,5700131,0.035966541821582695
361781,5700126,0.06346894787939775
282544,5700134,0.04956795752520906
319589,5700131,0.056066957057653584
330333,5700129,0.05795184635295096
254651,5700126,0.04467462649071266
282176,5700126,0.04950346711634094
318684,5721143,0.05570285518121117
301754,5700126,0.05293812803436275
