"active slots","total slots","duty cycle"
16377,473224,0.0346072895711122
23633,682840,0.03460986468279539
23728,685619,0.03460814242312421
24662,712615,0.03460774752145268
24662,712615,0.03460774752145268
34504,712615,0.04841885169411253
38245,712615,0.05366853069329161
38247,712615,0.053671337257846105
43490,712615,0.061028746237449395
70094,2025097,0.03461266299836502
76111,2198983,0.034611909232586155
104229,3011245,0.034613257971370645
159580,4610361,0.034613341558285785
247985,5760073,0.043052405759440894
402597,5760073,0.06989442668521735
397084,5760073,0.06893732075965009
208492,5760073,0.03619606904287498
199376,5760073,0.0346134502114817
199375,5760073,0.03461327660257084
309197,5760073,0.05367935441095972
207087,5760073,0.03595214852311768
331860,5760073,0.0576138531577638
350802,5760073,0.06090235314726046
316997,5760073,0.05503350391566218
316042,5760073,0.05486770740579156
219739,5760073,0.038148648463309405
341765,5760073,0.05933344941982506
199375,5760073,0.03461327660257084
210764,5760073,0.03659050848834728
316062,5760073,0.05487117958400874
276076,5760073,0.047929253674389195
199376,5760073,0.0346134502114817
345234,5760073,0.05993569873159594
363459,5760073,0.06309972113200649
208300,5760073,0.036162736131989996
241479,5760073,0.04192290618539036
321486,5760073,0.05581283431650953
320946,5760073,0.055719085504645514
252434,5760073,0.043824791803853874
349128,5760073,0.06061173183048201
316705,5760073,0.054982810113691265
322012,5760073,0.05590415260362152
