"Orchestra","DIME"
0.04625737318808688,0.04572645887049368
0.04526847085179708,0.04591095473485592
0.045636272291485376,0.04606521989217577
0.04575158815198791,0.04613795077063708
0.04588115585158133,0.04615103281036483
0.045922713035024966,0.046215666374885445
0.045945301723694314,0.04626398715724657
0.04597022885313103,0.04628861686175647
0.045959326429792224,0.046306573137031806
0.045949183922685814,0.0463543152833001
0.04595763882288277,0.04639173882350861
0.045957396120623425,0.046421361181389585
0.045940398902495,0.046468060593139175
0.04596448264170309,0.04653371753836812
0.04605053824027173,0.04658684500269011
0.04609887724649831,0.046615629704339794
0.04616472852210536,0.0466410618209037
0.04625571838564284,0.04666217875288122
0.04629904006580702,0.04668284274686376
0.04635377141763017,0.04670332458778646
0.04638388378207417,0.046735972784322316
0.04641347397581802,0.04677490422250691
0.046455443900417705,0.04681399519582464
0.04647443570707163,0.04685027461387511
