"min","max","avg"
3036.67,6162.45,3984.24
3021.67,6453.00,4228.48
2918.40,4203.33,3365.62
2235.31,3772.65,3122.60
1601.10,2923.50,2149.90
1629.60,5749.35,3739.15
2773.65,3745.61,3159.93
1234.05,3633.45,1764.40
