"min","max","avg"
0.980000,1.000000,0.997955
0.970000,1.000000,0.996246
0.990000,1.000000,0.996842
0.960000,1.000000,0.995906
0.990000,1.000000,0.999090
0.980000,1.000000,0.994726
0.980000,1.000000,0.998068
0.990000,1.000000,0.999886
